Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Season,Season Type,Match Count,,,,,,,,,,,,,,
Portland Trailblazers,88.84,98.29,-9.45,87.58,101.18,111.98,-10.8,0.474,0.507,0.511,0.549,21,61,47.07,92.98,113.83,2005-2006,REG,82,,,,,,,,,,,,,,
Sacramento Kings,98.85,97.32,1.54,91.95,106.7,104.82,1.88,0.492,0.488,0.544,0.528,44,38,49.03,109.78,108.78,2005-2006,REG,82,,,,,,,,,,,,,,
San Antonio Spurs,95.57,88.76,6.82,88.18,107.7,99.84,7.86,0.513,0.457,0.546,0.501,63,19,50.72,109.31,93.12,2005-2006,REG,82,,,,,,,,,,,,,,
Toronto Raptors,101.06,104.05,-2.99,91.14,109.36,112.63,-3.28,0.5,0.53,0.548,0.573,27,55,48.32,106.72,118.92,2005-2006,REG,82,,,,,,,,,,,,,,
Utah Jazz,92.35,94.99,-2.63,88.29,103.56,106.93,-3.38,0.467,0.49,0.519,0.544,41,41,52.61,103,102.82,2005-2006,REG,82,,,,,,,,,,,,,,
Washington Wizards,101.66,99.81,1.85,92.53,109.04,107.36,1.68,0.484,0.504,0.538,0.549,42,40,49.55,107.89,109.31,2005-2006,REG,82,,,,,,,,,,,,,,
Chicago Bulls,98.33,101.33,-3,94.33,104.24,107.8,-3.56,0.497,0.514,0.548,0.553,2,4,47.68,100,109,2005-2006,POFF,6,,,,,,,,,,,,,,
Cleveland Cavaliers,90.39,93.54,-3.15,85.48,104.07,107.9,-3.82,0.465,0.48,0.515,0.53,7,6,51.55,96.92,99.62,2005-2006,POFF,13,,,,,,,,,,,,,,
Dallas Mavericks,99.74,95.65,4.09,89,110.08,105.82,4.26,0.481,0.506,0.54,0.551,14,9,52.71,107.04,99.61,2005-2006,POFF,23,,,,,,,,,,,,,,
Denver Nuggets,87.4,95,-7.6,92.2,94.79,103.49,-8.69,0.397,0.493,0.449,0.552,1,4,49.64,87.8,109,2005-2006,POFF,5,,,,,,,,,,,,,,
Detroit Pistons,91.67,88.5,3.17,84.83,108.06,104.53,3.53,0.478,0.494,0.528,0.533,10,8,49.43,98.72,96.72,2005-2006,POFF,18,,,,,,,,,,,,,,
Indiana Pacers,89.33,93,-3.67,86.67,103.08,107.93,-4.85,0.491,0.479,0.543,0.536,2,4,49.45,94.17,107,2005-2006,POFF,6,,,,,,,,,,,,,,
Los Angeles Clippers,105.67,101.92,3.75,93.22,111.42,107.28,4.14,0.519,0.479,0.571,0.523,7,5,54.21,121.83,109.92,2005-2006,POFF,12,,,,,,,,,,,,,,
Los Angeles Lakers,100.57,107.29,-6.72,90.87,107.48,113.96,-6.48,0.497,0.543,0.538,0.595,3,4,54.38,104.43,119.86,2005-2006,POFF,7,,,,,,,,,,,,,,
Memphis Grizzlies,84.25,98.25,-14,83.33,98.54,115.25,-16.71,0.479,0.487,0.534,0.553,0,4,44.34,80.75,112.75,2005-2006,POFF,4,,,,,,,,,,,,,,
Miami Heat,96.26,92.48,3.78,89.77,106.75,101.92,4.83,0.525,0.47,0.559,0.521,16,7,51.82,103.96,94.44,2005-2006,POFF,23,,,,,,,,,,,,,,
Milwaukee Bucks,97.6,107.2,-9.6,88.6,110.16,120.99,-10.84,0.504,0.544,0.545,0.595,1,4,47.93,104.8,124.6,2005-2006,POFF,5,,,,,,,,,,,,,,
New Jersey Nets,94.18,95.09,-0.91,88.46,106.48,107.5,-1.03,0.487,0.517,0.538,0.565,5,6,50.12,104.27,101.09,2005-2006,POFF,11,,,,,,,,,,,,,,
Phoenix Suns,107.2,106,1.2,92.08,114.04,112.83,1.22,0.538,0.507,0.579,0.553,10,10,44.72,119.6,116.15,2005-2006,POFF,20,,,,,,,,,,,,,,
Sacramento Kings,97.33,106.83,-9.5,88.3,108.35,117.83,-9.48,0.477,0.566,0.536,0.612,2,4,49.68,98.83,124,2005-2006,POFF,6,,,,,,,,,,,,,,
San Antonio Spurs,103.08,100.85,2.23,89.24,112.8,110.91,1.88,0.533,0.486,0.587,0.548,7,6,48.4,112.62,104.54,2005-2006,POFF,13,,,,,,,,,,,,,,
Washington Wizards,101.67,101.5,0.17,89.07,110.31,109.93,0.38,0.488,0.489,0.545,0.539,2,4,46.91,106.33,109.67,2005-2006,POFF,6,,,,,,,,,,,,,,
Atlanta Hawks,93.66,98.42,-4.76,89.81,103.24,108.29,-5.05,0.471,0.503,0.523,0.549,30,52,49.77,101.01,109.07,2006-2007,REG,82,,,,,,,,,,,,,,
Boston Celtics,95.82,99.23,-3.42,91.81,103.45,107.45,-4,0.479,0.502,0.53,0.551,24,58,49.89,102.17,111.7,2006-2007,REG,82,,,,,,,,,,,,,,
Charlotte Bobcats,96.89,100.63,-3.74,91.68,103.97,107.87,-3.9,0.48,0.5,0.524,0.55,33,49,48.34,105.24,112.16,2006-2007,REG,82,,,,,,,,,,,,,,
Chicago Bulls,98.78,93.77,5.01,93.5,105.11,99.74,5.37,0.493,0.473,0.534,0.52,49,33,51.64,111.73,99.71,2006-2007,REG,82,,,,,,,,,,,,,,
Cleveland Cavaliers,96.76,92.93,3.83,90.34,106.03,101.53,4.5,0.484,0.48,0.522,0.525,50,32,52.19,106.49,99.62,2006-2007,REG,82,,,,,,,,,,,,,,
Dallas Mavericks,100.01,92.79,7.22,89.29,111.58,103.31,8.27,0.509,0.477,0.559,0.527,67,15,52.36,113.78,96.81,2006-2007,REG,82,,,,,,,,,,,,,,
Denver Nuggets,105.35,103.73,1.62,96.93,108.14,106.53,1.61,0.501,0.499,0.548,0.535,45,37,50.65,117.63,115.46,2006-2007,REG,82,,,,,,,,,,,,,,
Detroit Pistons,96,91.84,4.16,87.32,108.84,104.01,4.83,0.488,0.477,0.535,0.522,53,29,49.6,110.55,99.78,2006-2007,REG,82,,,,,,,,,,,,,,
Golden State Warriors,106.55,106.89,-0.34,98.93,107.3,107.76,-0.46,0.512,0.506,0.548,0.552,42,40,47.15,117.42,120.76,2006-2007,REG,82,,,,,,,,,,,,,,
Houston Rockets,96.99,92.13,4.85,90.46,106.27,101,5.26,0.499,0.466,0.54,0.512,52,30,51.49,108.82,98.6,2006-2007,REG,82,,,,,,,,,,,,,,
Indiana Pacers,95.61,98.05,-2.44,92.28,103.09,105.97,-2.88,0.474,0.491,0.523,0.541,35,47,50.12,103.6,108.13,2006-2007,REG,82,,,,,,,,,,,,,,
Los Angeles Clippers,95.65,96.11,-0.46,90.62,105.28,105.79,-0.51,0.481,0.488,0.537,0.534,40,42,51.15,109.13,104.72,2006-2007,REG,82,,,,,,,,,,,,,,
Los Angeles Lakers,103.34,103.42,-0.07,93.48,108.61,108.89,-0.27,0.511,0.5,0.555,0.548,42,40,49.4,114.28,115.28,2006-2007,REG,82,,,,,,,,,,,,,,
Memphis Grizzlies,101.6,106.74,-5.15,93.6,106.92,112.23,-5.32,0.504,0.529,0.555,0.569,22,60,48.45,108.61,124.38,2006-2007,REG,82,,,,,,,,,,,,,,
Miami Heat,94.62,95.54,-0.92,89.4,104.91,105.84,-0.93,0.506,0.485,0.541,0.528,44,38,49.67,105.54,103.54,2006-2007,REG,82,,,,,,,,,,,,,,
Milwaukee Bucks,99.66,104.04,-4.38,92.3,107.02,112.04,-5.02,0.504,0.522,0.541,0.561,28,54,47.65,105.7,121.11,2006-2007,REG,82,,,,,,,,,,,,,,
Minnesota Timberwolves,96.06,99.73,-3.67,91.05,103.8,107.78,-3.98,0.49,0.498,0.537,0.541,32,50,49.23,106.63,110.85,2006-2007,REG,82,,,,,,,,,,,,,,
New Jersey Nets,97.57,98.34,-0.77,91.34,105.75,106.33,-0.58,0.504,0.49,0.546,0.54,41,41,49.66,108.2,109.48,2006-2007,REG,82,,,,,,,,,,,,,,
New Orleans Hornets,95.52,97.1,-1.57,90.17,104.87,106.72,-1.84,0.479,0.499,0.52,0.539,39,43,51.39,103.04,108.06,2006-2007,REG,82,,,,,,,,,,,,,,
New York Knicks,97.49,100.34,-2.85,90.9,105.5,108.85,-3.35,0.494,0.504,0.539,0.548,33,49,52.72,102.55,109.99,2006-2007,REG,82,,,,,,,,,,,,,,
Orlando Magic,94.77,93.99,0.78,89.42,105.44,104.69,0.76,0.5,0.48,0.544,0.534,40,42,51.99,101.85,100.96,2006-2007,REG,82,,,,,,,,,,,,,,
Philadelphia 76ers,94.94,97.96,-3.02,90.56,103.79,107.02,-3.24,0.48,0.501,0.53,0.542,35,47,49.09,103.72,108.85,2006-2007,REG,82,,,,,,,,,,,,,,
Phoenix Suns,110.21,102.9,7.31,95.01,114.68,106.88,7.81,0.552,0.492,0.59,0.533,61,21,48.59,127.57,108.27,2006-2007,REG,82,,,,,,,,,,,,,,
Portland Trailblazers,94.11,98.4,-4.29,88.13,105.31,110.01,-4.7,0.483,0.508,0.53,0.557,32,50,50.19,100.4,109.63,2006-2007,REG,82,,,,,,,,,,,,,,
Sacramento Kings,101.26,103.06,-1.81,94.67,106.29,108.1,-1.81,0.491,0.513,0.545,0.556,33,49,47.32,106.96,115.73,2006-2007,REG,82,,,,,,,,,,,,,,
San Antonio Spurs,98.52,90.1,8.43,89.17,109.93,100.54,9.39,0.521,0.471,0.561,0.511,58,24,50.99,113.7,94.38,2006-2007,REG,82,,,,,,,,,,,,,,
Seattle SuperSonics,99.15,102.04,-2.89,91.69,107.31,110.46,-3.14,0.499,0.515,0.544,0.558,31,51,49.15,107.77,114.48,2006-2007,REG,82,,,,,,,,,,,,,,
Toronto Raptors,99.48,98.49,0.99,92.6,107.02,105.86,1.16,0.504,0.503,0.55,0.543,47,35,48.11,111.22,108.63,2006-2007,REG,82,,,,,,,,,,,,,,
Utah Jazz,101.49,98.62,2.87,91.66,110.02,106.84,3.18,0.502,0.496,0.551,0.554,51,31,53.45,115.59,104.52,2006-2007,REG,82,,,,,,,,,,,,,,
Washington Wizards,104.34,104.85,-0.51,94.17,109.96,110.71,-0.75,0.491,0.517,0.542,0.562,41,41,48.93,112.17,118.4,2006-2007,REG,82,,,,,,,,,,,,,,
Chicago Bulls,92.4,91.3,1.1,89.3,103.47,102.7,0.77,0.469,0.475,0.522,0.515,6,4,50.97,100.7,97.5,2006-2007,POFF,10,,,,,,,,,,,,,,
Cleveland Cavaliers,88.8,86.65,2.15,85.41,102.9,100.17,2.72,0.456,0.464,0.506,0.509,12,8,52.45,96.95,92.25,2006-2007,POFF,20,,,,,,,,,,,,,,
Dallas Mavericks,98.5,105.17,-6.67,93.5,105.35,112.68,-7.33,0.466,0.53,0.524,0.572,2,4,51.55,105.67,111.5,2006-2007,POFF,6,,,,,,,,,,,,,,
Denver Nuggets,88.2,94.2,-6,87.6,100.69,107.29,-6.6,0.452,0.493,0.498,0.523,1,4,51.91,94,108.4,2006-2007,POFF,5,,,,,,,,,,,,,,
Detroit Pistons,91.38,88.44,2.94,85.33,105.71,101.8,3.91,0.468,0.462,0.522,0.509,10,6,49.66,101.75,92.44,2006-2007,POFF,16,,,,,,,,,,,,,,
Golden State Warriors,106.64,104.91,1.73,95.55,110.56,108.87,1.69,0.518,0.493,0.564,0.55,5,6,44.04,110.27,116.91,2006-2007,POFF,11,,,,,,,,,,,,,,
Houston Rockets,87.29,90.43,-3.14,88,99.19,103.26,-4.07,0.46,0.467,0.52,0.506,3,4,50.17,95.57,105.14,2006-2007,POFF,7,,,,,,,,,,,,,,
Los Angeles Lakers,98,108.4,-10.4,94,104.26,115.32,-11.06,0.479,0.528,0.513,0.567,1,4,51.54,96.8,126,2006-2007,POFF,5,,,,,,,,,,,,,,
Miami Heat,88.75,99.75,-11,90.5,98.07,109.92,-11.85,0.482,0.505,0.512,0.556,0,4,46.03,87.75,116.75,2006-2007,POFF,4,,,,,,,,,,,,,,
New Jersey Nets,90.17,88.33,1.83,88.58,101.79,99.53,2.26,0.497,0.463,0.539,0.514,6,6,49.64,100.17,94.33,2006-2007,POFF,12,,,,,,,,,,,,,,
Orlando Magic,88,97,-9,85,103.53,114.45,-10.93,0.495,0.495,0.519,0.556,0,4,50,90.25,112.5,2006-2007,POFF,4,,,,,,,,,,,,,,
Phoenix Suns,104.09,99.09,5,93.64,111.17,105.83,5.34,0.52,0.492,0.562,0.53,6,5,48.74,117.91,104.09,2006-2007,POFF,11,,,,,,,,,,,,,,
San Antonio Spurs,95.65,91.7,3.95,88.95,107.53,103.38,4.15,0.508,0.471,0.547,0.516,16,4,49.94,107.25,98.4,2006-2007,POFF,20,,,,,,,,,,,,,,
Toronto Raptors,90.83,96.17,-5.33,90.33,100.55,107.25,-6.7,0.478,0.521,0.536,0.564,2,4,48.2,96.33,111,2006-2007,POFF,6,,,,,,,,,,,,,,
Utah Jazz,97.88,97,0.88,90.97,106.94,105.44,1.51,0.486,0.498,0.534,0.551,9,8,53.68,111.06,104.18,2006-2007,POFF,17,,,,,,,,,,,,,,
Washington Wizards,91.5,100.25,-8.75,88.75,103.1,114.25,-11.15,0.45,0.49,0.494,0.557,0,4,42.69,92.75,119,2006-2007,POFF,4,,,,,,,,,,,,,,
Atlanta Hawks,98.22,100.04,-1.82,91,106.99,108.62,-1.63,0.483,0.501,0.535,0.541,37,45,50.79,111.15,112.67,2007-2008,REG,82,,,,,,,,,,,,,,
Boston Celtics,100.55,90.29,10.26,90.66,110.49,99.22,11.27,0.522,0.457,0.569,0.508,66,16,51.93,117.29,92.93,2007-2008,REG,82,,,,,,,,,,,,,,
Charlotte Bobcats,97.06,101.44,-4.38,91.58,104.92,109.81,-4.89,0.492,0.505,0.532,0.547,32,50,48.16,106.35,116.57,2007-2008,REG,82,,,,,,,,,,,,,,
Chicago Bulls,97.33,100.42,-3.09,92.9,104.11,107.48,-3.37,0.47,0.496,0.515,0.545,33,49,50.23,108.04,113.62,2007-2008,REG,82,,,,,,,,,,,,,,
Cleveland Cavaliers,96.38,96.73,-0.35,89.9,106.27,106.56,-0.29,0.48,0.494,0.52,0.538,45,37,52.45,107.06,107.52,2007-2008,REG,82,,,,,,,,,,,,,,
Dallas Mavericks,100.42,95.88,4.54,89.85,111.48,106.09,5.4,0.502,0.474,0.554,0.524,51,31,51.65,115.96,103.49,2007-2008,REG,82,,,,,,,,,,,,,,
Denver Nuggets,110.66,106.95,3.71,99.14,110.63,106.64,3.99,0.51,0.499,0.557,0.535,50,32,49.28,127.77,119.98,2007-2008,REG,82,,,,,,,,,,,,,,
Detroit Pistons,97.46,90.07,7.39,87.3,111.36,103.06,8.3,0.495,0.47,0.539,0.517,59,23,51.42,114.09,95.99,2007-2008,REG,82,,,,,,,,,,,,,,
Golden State Warriors,111.04,108.83,2.21,98.8,111.81,109.73,2.09,0.511,0.509,0.548,0.555,48,34,47.87,122.29,122.89,2007-2008,REG,82,,,,,,,,,,,,,,
Houston Rockets,96.72,92.04,4.68,90.05,107.13,101.59,5.54,0.492,0.465,0.528,0.508,55,27,52.33,110.92,99.1,2007-2008,REG,82,,,,,,,,,,,,,,
Indiana Pacers,103.99,105.39,-1.4,97.48,106.27,107.85,-1.58,0.498,0.498,0.54,0.548,36,46,48.68,114.52,118.54,2007-2008,REG,82,,,,,,,,,,,,,,
Los Angeles Clippers,93.81,101.07,-7.27,92.15,101.16,109.49,-8.33,0.465,0.503,0.52,0.546,23,59,47.95,102.94,116.04,2007-2008,REG,82,,,,,,,,,,,,,,
Los Angeles Lakers,108.59,101.33,7.26,95.42,113.23,105.67,7.55,0.525,0.485,0.57,0.526,57,25,50.78,126.92,110.98,2007-2008,REG,82,,,,,,,,,,,,,,
Memphis Grizzlies,100.7,106.9,-6.21,94.99,105.33,111.83,-6.49,0.5,0.521,0.539,0.557,22,60,48.32,105.7,126.28,2007-2008,REG,82,,,,,,,,,,,,,,
Miami Heat,91.35,100,-8.65,89.94,100.81,110.16,-9.35,0.482,0.51,0.522,0.554,15,67,46.62,97.15,115.31,2007-2008,REG,82,,,,,,,,,,,,,,
Milwaukee Bucks,97.02,103.92,-6.89,91.47,105.14,112.83,-7.69,0.482,0.524,0.522,0.568,26,56,50.61,105.12,119.79,2007-2008,REG,82,,,,,,,,,,,,,,
Minnesota Timberwolves,95.6,102.38,-6.78,91.37,104.37,111.38,-7.02,0.484,0.513,0.518,0.561,22,60,49.82,103.07,119.2,2007-2008,REG,82,,,,,,,,,,,,,,
New Jersey Nets,95.82,100.88,-5.06,91.63,103.78,109.26,-5.48,0.481,0.497,0.528,0.547,34,48,50.15,106.88,114.28,2007-2008,REG,82,,,,,,,,,,,,,,
New Orleans Hornets,100.85,95.57,5.28,89.87,111.52,105.99,5.52,0.512,0.501,0.548,0.537,56,26,50.61,115.74,106.68,2007-2008,REG,82,,,,,,,,,,,,,,
New York Knicks,96.93,103.54,-6.61,91.61,104.74,111.93,-7.19,0.475,0.518,0.518,0.557,23,59,49.92,100.06,118.63,2007-2008,REG,82,,,,,,,,,,,,,,
Seattle SuperSonics,97.55,106.31,-8.76,96.09,100.76,110.01,-9.25,0.467,0.503,0.509,0.542,20,62,50.3,106.71,122.94,2007-2008,REG,82,,,,,,,,,,,,,,
Orlando Magic,104.48,99.01,5.46,92.83,111.97,106.12,5.86,0.537,0.484,0.575,0.526,52,30,50.19,114.77,108.54,2007-2008,REG,82,,,,,,,,,,,,,,
Philadelphia 76ers,96.62,96.21,0.42,90.33,106.56,106.22,0.34,0.482,0.504,0.522,0.543,40,42,51.66,107.48,107.98,2007-2008,REG,82,,,,,,,,,,,,,,
Phoenix Suns,110.07,105.02,5.05,96.17,113.88,108.31,5.57,0.551,0.488,0.59,0.524,55,27,48.6,130.6,112.09,2007-2008,REG,82,,,,,,,,,,,,,,
Portland Trailblazers,95.37,96.34,-0.98,87.77,107.43,108.55,-1.11,0.489,0.491,0.532,0.532,41,41,49.39,105.76,107,2007-2008,REG,82,,,,,,,,,,,,,,
Sacramento Kings,102.54,104.79,-2.26,94.5,107.68,110.1,-2.41,0.503,0.51,0.556,0.555,38,44,48.88,109.9,117.74,2007-2008,REG,82,,,,,,,,,,,,,,
San Antonio Spurs,95.37,90.57,4.79,88.73,107.21,102.09,5.12,0.504,0.477,0.543,0.517,56,26,50.6,108.39,99.35,2007-2008,REG,82,,,,,,,,,,,,,,
Toronto Raptors,100.18,97.28,2.9,90.02,110.45,107.2,3.24,0.511,0.505,0.551,0.544,41,41,49.05,116.5,109.12,2007-2008,REG,82,,,,,,,,,,,,,,
Utah Jazz,106.22,99.34,6.88,93.28,113.72,106.54,7.18,0.528,0.501,0.573,0.553,54,28,51.95,125.17,105.39,2007-2008,REG,82,,,,,,,,,,,,,,
Washington Wizards,98.83,99.16,-0.33,89.5,109.17,109.39,-0.22,0.489,0.513,0.535,0.552,43,39,50.24,109.39,113.05,2007-2008,REG,82,,,,,,,,,,,,,,
Atlanta Hawks,87.14,99.14,-12,86.14,101.16,115.86,-14.7,0.439,0.504,0.512,0.543,3,4,49.26,89,118,2007-2008,POFF,7,,,,,,,,,,,,,,
Boston Celtics,94,88.77,5.23,86.15,109.11,102.99,6.12,0.487,0.463,0.541,0.525,16,10,52.39,107.89,93.46,2007-2008,POFF,26,,,,,,,,,,,,,,
Cleveland Cavaliers,89.92,87.77,2.15,86.08,104.47,101.51,2.96,0.465,0.46,0.517,0.518,7,6,51.7,97.85,94.31,2007-2008,POFF,13,,,,,,,,,,,,,,
Dallas Mavericks,94,102.8,-8.8,87.6,107.31,117.89,-10.58,0.447,0.527,0.511,0.564,1,4,52.44,102.6,122,2007-2008,POFF,5,,,,,,,,,,,,,,
Denver Nuggets,101.5,114.75,-13.25,98.25,103.31,117.39,-14.08,0.452,0.536,0.501,0.57,0,4,53.42,107,133.75,2007-2008,POFF,4,,,,,,,,,,,,,,
Detroit Pistons,91.41,89.12,2.29,85.29,107.17,105.06,2.11,0.485,0.478,0.538,0.528,10,7,47.94,104.35,94.41,2007-2008,POFF,17,,,,,,,,,,,,,,
Houston Rockets,88,90.5,-2.5,84.5,104.14,106.47,-2.33,0.446,0.482,0.488,0.521,2,4,49.12,92.67,102.33,2007-2008,POFF,6,,,,,,,,,,,,,,
Los Angeles Lakers,102.43,100.24,2.19,92.73,109.91,107.34,2.57,0.512,0.477,0.56,0.528,14,7,47.68,113.38,111.48,2007-2008,POFF,21,,,,,,,,,,,,,,
New Orleans Hornets,96.58,92.92,3.67,86.42,111.77,107.42,4.35,0.499,0.483,0.537,0.528,7,5,49.03,114.08,104.75,2007-2008,POFF,12,,,,,,,,,,,,,,
Orlando Magic,97.1,95.5,1.6,87.5,110.97,109.02,1.95,0.529,0.464,0.564,0.518,5,5,52.38,105.7,108.2,2007-2008,POFF,10,,,,,,,,,,,,,,
Philadelphia 76ers,85.83,92.83,-7,86,99.81,107.32,-7.52,0.43,0.523,0.488,0.556,2,4,49.78,86.33,108.33,2007-2008,POFF,6,,,,,,,,,,,,,,
Phoenix Suns,100.4,102.4,-2,92.74,103.93,106.45,-2.51,0.492,0.493,0.524,0.534,1,4,48.83,106,108.6,2007-2008,POFF,5,,,,,,,,,,,,,,
San Antonio Spurs,94.06,94.94,-0.88,89.03,104.37,105.15,-0.77,0.493,0.486,0.529,0.522,9,8,49.55,103.77,106.53,2007-2008,POFF,17,,,,,,,,,,,,,,
Toronto Raptors,99.4,104,-4.6,89.4,111.19,115.81,-4.63,0.484,0.533,0.529,0.578,1,4,46.34,111.8,118.6,2007-2008,POFF,5,,,,,,,,,,,,,,
Utah Jazz,98.92,99.17,-0.25,89.31,109.81,110.39,-0.58,0.481,0.49,0.528,0.546,6,6,52.83,112.25,108,2007-2008,POFF,12,,,,,,,,,,,,,,
Washington Wizards,92.17,95.5,-3.33,88.17,104.54,108.73,-4.19,0.466,0.485,0.524,0.53,2,4,45.44,95.5,108.33,2007-2008,POFF,6,,,,,,,,,,,,,,
Atlanta Hawks,98.12,96.55,1.57,89.18,109.89,107.86,2.03,0.505,0.494,0.546,0.535,47,35,48.85,108.79,108.09,2008-2009,REG,82,,,,,,,,,,,,,,
Boston Celtics,100.92,93.4,7.51,89.96,111.04,102.68,8.36,0.528,0.47,0.571,0.521,62,20,52.84,117.37,97.49,2008-2009,REG,82,,,,,,,,,,,,,,
Charlotte Bobcats,93.62,94.89,-1.27,87.87,105.21,106.44,-1.24,0.494,0.498,0.536,0.541,35,47,50.5,103.45,104.82,2008-2009,REG,82,,,,,,,,,,,,,,
Chicago Bulls,102.17,102.45,-0.28,92.97,108.52,108.89,-0.37,0.493,0.493,0.541,0.54,41,41,49.59,114.06,114.77,2008-2009,REG,82,,,,,,,,,,,,,,
Cleveland Cavaliers,100.28,91.35,8.93,88.34,112.94,102.74,10.2,0.519,0.468,0.56,0.515,66,16,52.05,115.5,96.38,2008-2009,REG,82,,,,,,,,,,,,,,
Dallas Mavericks,101.74,99.77,1.98,91.24,110.81,108.5,2.31,0.504,0.493,0.55,0.539,50,32,50.8,117.89,110.09,2008-2009,REG,82,,,,,,,,,,,,,,
Denver Nuggets,104.33,100.92,3.41,94.09,110.6,106.87,3.73,0.512,0.485,0.563,0.536,54,28,50.22,118.48,110.29,2008-2009,REG,82,,,,,,,,,,,,,,
Detroit Pistons,94.23,94.72,-0.49,86.72,107.44,107.83,-0.39,0.483,0.485,0.524,0.534,39,43,50.62,106.38,105.52,2008-2009,REG,82,,,,,,,,,,,,,,
Golden State Warriors,108.6,112.34,-3.74,98.5,109.14,113.18,-4.04,0.497,0.508,0.549,0.555,29,53,47.16,118.74,128.44,2008-2009,REG,82,,,,,,,,,,,,,,
Houston Rockets,98.42,94.42,4,89.95,108.72,104.1,4.62,0.501,0.479,0.548,0.516,53,29,51.85,111.31,103.71,2008-2009,REG,82,,,,,,,,,,,,,,
Indiana Pacers,105.09,106.2,-1.11,96.13,108.49,109.41,-0.93,0.501,0.499,0.545,0.549,36,46,49.78,117.23,118.82,2008-2009,REG,82,,,,,,,,,,,,,,
Los Angeles Clippers,95.11,103.88,-8.77,91.98,102.36,111.95,-9.58,0.481,0.512,0.52,0.553,19,63,47.47,103.07,122.28,2008-2009,REG,82,,,,,,,,,,,,,,
Los Angeles Lakers,106.93,99.27,7.66,94.27,112.86,104.8,8.06,0.513,0.49,0.555,0.53,65,17,51.45,124.22,109.18,2008-2009,REG,82,,,,,,,,,,,,,,
Memphis Grizzlies,93.88,99.34,-5.46,89.92,103.75,109.78,-6.04,0.486,0.515,0.533,0.56,24,58,49.31,99.85,112.92,2008-2009,REG,82,,,,,,,,,,,,,,
Miami Heat,98.31,98.05,0.26,89.6,108.2,107.93,0.27,0.5,0.501,0.54,0.548,43,39,48.55,110.02,107.49,2008-2009,REG,82,,,,,,,,,,,,,,
Milwaukee Bucks,99.29,100.38,-1.09,92.7,106.57,107.75,-1.18,0.483,0.503,0.531,0.562,34,48,49.87,108.34,111.31,2008-2009,REG,82,,,,,,,,,,,,,,
Minnesota Timberwolves,97.79,102.71,-4.91,91.52,106.18,111.65,-5.47,0.481,0.515,0.526,0.561,24,58,50.48,104.94,118.39,2008-2009,REG,82,,,,,,,,,,,,,,
New Jersey Nets,98.1,100.54,-2.44,89.85,108.35,111.17,-2.81,0.497,0.509,0.543,0.558,34,48,49.02,107.7,114.21,2008-2009,REG,82,,,,,,,,,,,,,,
New Orleans Hornets,95.82,94.27,1.55,87.59,108.97,107.26,1.72,0.501,0.496,0.548,0.54,49,33,49.8,108.33,103.57,2008-2009,REG,82,,,,,,,,,,,,,,
New York Knicks,105.21,107.82,-2.61,96.44,108.41,110.9,-2.49,0.503,0.52,0.544,0.558,32,50,47.76,111.6,124.38,2008-2009,REG,82,,,,,,,,,,,,,,
Oklahoma City Thunder,96.98,103.07,-6.1,94.06,102.45,108.97,-6.53,0.471,0.514,0.521,0.553,23,59,50.84,105.59,116.65,2008-2009,REG,82,,,,,,,,,,,,,,
Orlando Magic,101.05,94.35,6.7,91.71,109.91,102.44,7.47,0.52,0.465,0.559,0.508,59,23,50.66,112.18,100.24,2008-2009,REG,82,,,,,,,,,,,,,,
Philadelphia 76ers,97.4,97.33,0.07,90.18,107.6,108,-0.4,0.485,0.507,0.532,0.548,41,41,51.18,108.24,108.23,2008-2009,REG,82,,,,,,,,,,,,,,
Phoenix Suns,109.44,107.51,1.93,95.59,114.06,112.01,2.05,0.545,0.511,0.584,0.554,46,36,50.55,123.74,117.67,2008-2009,REG,82,,,,,,,,,,,,,,
Portland Trailblazers,99.43,94.09,5.34,86.58,113.96,107.71,6.26,0.511,0.499,0.553,0.544,54,28,53.47,112.87,101.49,2008-2009,REG,82,,,,,,,,,,,,,,
Sacramento Kings,100.59,109.34,-8.76,94.18,105.6,115.02,-9.43,0.491,0.526,0.542,0.571,17,65,47.04,105.59,125.31,2008-2009,REG,82,,,,,,,,,,,,,,
San Antonio Spurs,97.05,93.29,3.76,88.13,108.88,104.9,3.98,0.513,0.487,0.548,0.525,54,28,50.38,110.56,102.83,2008-2009,REG,82,,,,,,,,,,,,,,
Toronto Raptors,99.04,101.85,-2.82,92.09,106.87,110.04,-3.17,0.494,0.511,0.542,0.549,33,49,49.12,112,115.85,2008-2009,REG,82,,,,,,,,,,,,,,
Utah Jazz,103.56,100.92,2.65,93.18,110.03,107.26,2.77,0.504,0.505,0.555,0.552,48,34,50.47,119.33,109.7,2008-2009,REG,82,,,,,,,,,,,,,,
Washington Wizards,96.06,103.52,-7.46,90.98,105.45,113.73,-8.28,0.48,0.533,0.524,0.572,19,63,48.96,104.45,121.73,2008-2009,REG,82,,,,,,,,,,,,,,
Atlanta Hawks,84,91.09,-7.09,82.64,101.65,110.47,-8.82,0.45,0.514,0.499,0.561,4,7,46.1,85.27,103.82,2008-2009,POFF,11,,,,,,,,,,,,,,
