Team,Pts,Opp Pts,Avg. Mrg,Pace,Off Eff,Def Eff,Net Rtg,EFg%,Opp EFg%,Ts%,Opp Ts%,Win,Loss,Reb Rate,Eff Pts,Opp Eff Pts,Season,Season Type,Match Count,,,,,,,,,,,,,,
New Jersey Nets,91.38,95.16,-3.78,92.3,98.6,102.83,-4.23,0.434,0.481,0.485,0.524,16,34,49.39,98.8,106.9,1998-1999,REG,50,,,,,,,,,,,,,,
Minnesota Timberwolves,92.94,92.56,0.38,91.71,101.13,100.89,0.24,0.439,0.467,0.481,0.518,25,25,49.91,105.94,103.36,1998-1999,REG,50,,,,,,,,,,,,,,
Milwaukee Bucks,91.68,90.02,1.66,87.48,104.37,102.39,1.98,0.489,0.463,0.53,0.518,28,22,48.55,102.62,97.9,1998-1999,REG,50,,,,,,,,,,,,,,
Miami Heat,88.98,84.02,4.96,85.02,104.44,98.45,5.98,0.494,0.439,0.54,0.487,33,17,50.69,102.48,88,1998-1999,REG,50,,,,,,,,,,,,,,
Vancouver Grizzlies,88.86,97.52,-8.66,89.26,98.12,107.52,-9.4,0.447,0.492,0.498,0.538,8,42,48.57,92.66,115.42,1998-1999,REG,50,,,,,,,,,,,,,,
Los Angeles Lakers,99,95.98,3.02,91.7,107.52,104.06,3.46,0.498,0.468,0.539,0.516,31,19,50.82,110.18,102.8,1998-1999,REG,50,,,,,,,,,,,,,,
Los Angeles Clippers,90.38,99.2,-8.82,89.84,99.56,109.16,-9.6,0.454,0.503,0.497,0.552,9,41,47.71,91.18,115.12,1998-1999,REG,50,,,,,,,,,,,,,,
Indiana Pacers,94.66,90.92,3.74,87.31,107.52,103.27,4.25,0.486,0.46,0.537,0.508,33,17,49.68,106.16,99.94,1998-1999,REG,50,,,,,,,,,,,,,,
Houston Rockets,94.22,91.9,2.32,89.1,105.09,102.52,2.57,0.506,0.461,0.545,0.499,31,19,50.25,107.12,102.26,1998-1999,REG,50,,,,,,,,,,,,,,
Golden State Warriors,88.32,90.82,-2.5,89.61,97.55,100.15,-2.61,0.434,0.445,0.471,0.502,21,29,52.38,98.2,101.48,1998-1999,REG,50,,,,,,,,,,,,,,
Detroit Pistons,90.36,86.94,3.42,86.76,103.72,99.73,3.99,0.48,0.468,0.528,0.515,29,21,51.17,101.38,95.68,1998-1999,REG,50,,,,,,,,,,,,,,
Denver Nuggets,93.48,100.08,-6.6,90.97,102.55,109.93,-7.39,0.459,0.499,0.511,0.543,14,36,49,99.94,116.6,1998-1999,REG,50,,,,,,,,,,,,,,
Dallas Mavericks,91.62,94.02,-2.4,89.24,102.03,104.72,-2.7,0.459,0.476,0.502,0.515,19,31,49.35,100.1,106.7,1998-1999,REG,50,,,,,,,,,,,,,,
Cleveland Cavaliers,86.44,88.16,-1.72,86.54,99.47,101.45,-1.98,0.464,0.468,0.52,0.519,22,28,47.25,95.62,98.76,1998-1999,REG,50,,,,,,,,,,,,,,
Chicago Bulls,81.9,91.36,-9.46,88.35,92.13,103,-10.87,0.424,0.483,0.47,0.527,13,37,48.14,86.24,107.34,1998-1999,REG,50,,,,,,,,,,,,,,
Boston Celtics,93,94.86,-1.86,92.11,99.72,102.18,-2.46,0.469,0.465,0.501,0.52,19,31,49.44,102.24,106.22,1998-1999,REG,50,,,,,,,,,,,,,,
Atlanta Hawks,86.3,83.4,2.9,85.86,99.88,96.26,3.62,0.436,0.437,0.492,0.48,31,19,52.72,91.38,88.82,1998-1999,REG,50,,,,,,,,,,,,,,
Sacramento Kings,100.18,100.6,-0.42,96.16,102.48,102.8,-0.32,0.479,0.471,0.514,0.504,27,23,49.25,109.4,113.68,1998-1999,REG,50,,,,,,,,,,,,,,
San Antonio Spurs,92.8,84.74,8.06,88.81,103.85,94.56,9.3,0.479,0.423,0.523,0.464,37,13,51.1,109.9,89.86,1998-1999,REG,50,,,,,,,,,,,,,,
Toronto Raptors,91.14,92.78,-1.64,89.44,101.27,103,-1.73,0.45,0.473,0.504,0.52,23,27,51.82,102.92,103.54,1998-1999,REG,50,,,,,,,,,,,,,,
