Team,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,Season,Season Type,Match Count
Orlando Magic,95.04,103.06,7.44,3.62,15.98,20.06,27.55,31.76,21.76,23.4,9.92,13.37,4.13,7.52,20.11,17.27,25.9,29.81,1998-1999,POFF,4
New York Knicks,99.36,97.02,3.74,5.26,11.86,11.4,34.02,34.07,17.48,19.64,8.83,8.07,4.56,5.38,14.73,16.37,29.75,26.83,1998-1999,POFF,20
Minnesota Timberwolves,93.33,101.17,2.9,3.21,16.52,12.54,33.91,34.99,21.74,23.62,7.54,10.2,6.96,6.71,15.94,14.29,27.83,20.7,1998-1999,POFF,4
Milwaukee Bucks,104,115.27,5.09,12,12,15.64,29.46,32.36,21.82,27.27,9.09,10.18,5.46,5.46,17.82,17.82,32.73,29.46,1998-1999,POFF,3
Miami Heat,97.53,102.47,6.91,5.68,10.12,13.83,33.83,36.05,20.25,15.8,8.89,9.63,5.43,3.7,14.57,15.31,25.43,29.38,1998-1999,POFF,5
Los Angeles Lakers,102.59,105.59,5.18,6.4,13.23,12.13,30.83,35.29,21.28,23.43,7.23,8.04,6.96,4.5,14.33,15.94,27.56,29.29,1998-1999,POFF,8
Indiana Pacers,106.29,101.92,7.42,3.48,13.19,13.42,33.89,30.14,23.49,19.25,7.51,9.32,5.85,5.05,17.38,14.46,29.43,30.92,1998-1999,POFF,13
Houston Rockets,105.44,108.47,8.42,6.83,14.4,12.02,35.33,32.51,22.28,25.41,8.15,5.47,4.89,9.29,13.86,13.12,28.26,23.77,1998-1999,POFF,4
Detroit Pistons,99.5,103.79,4.27,7.07,14.07,12.63,30.15,33.08,22.36,20.46,9.05,9.34,2.26,5.81,14.57,17.42,28.39,21.72,1998-1999,POFF,5
Atlanta Hawks,96.5,100,5.79,3.77,14.54,12.94,32.57,34.37,16.82,21.7,9.83,8.22,4.85,3.5,16.15,15.36,23.55,28.57,1998-1999,POFF,9
Sacramento Kings,97.21,101.49,6.65,2.77,13.73,14.04,30.69,32.98,19.53,25.32,11.37,10.43,4.72,4.26,18.88,17.02,25.54,26.38,1998-1999,POFF,5
San Antonio Spurs,102.45,93.56,4.77,3.19,11.32,13.76,35.24,31.86,24.68,19.19,8.45,8.48,6.75,4.95,16.5,15.12,25.22,28.68,1998-1999,POFF,17
Utah Jazz,100.51,98.97,3.28,5.66,12.6,12.87,35.45,32.65,24.8,18.74,8.71,10.3,5.33,4.63,16.39,15.96,30.53,28.22,1998-1999,POFF,11
Atlanta Hawks,101.32,106.9,3.38,4.88,15.01,13.76,33.67,32.35,20.28,24.66,6.55,8.56,6.04,5.28,15.97,12.53,22.51,23.93,1999-2000,REG,82
Boston Celtics,104.13,105.31,5.33,4.61,14.16,11,30.93,32.51,22.26,23.07,10.16,8.19,3.66,6.07,15.61,17.28,28.42,24.74,1999-2000,REG,82
Chicago Bulls,93.77,104.15,4.59,4.83,13.92,13.49,31.33,32.58,22.07,25.65,8.71,11.5,5.17,6.22,19.4,16.16,25.74,26.51,1999-2000,REG,82
